,Date,Crime type,County,Amount
275,2003Q2,Miscellaneous offences,Mayo,777
276,2003Q2,Miscellaneous offences,Meath,256
277,2003Q2,Miscellaneous offences,Monaghan,367
278,2003Q2,Miscellaneous offences,Offaly,295
279,2003Q2,Miscellaneous offences,Roscommon,197
280,2003Q2,Miscellaneous offences,Sligo,152
281,2003Q2,Miscellaneous offences,Tipperary,580
282,2003Q2,Miscellaneous offences,Waterford,1272
283,2003Q2,Miscellaneous offences,Westmeath,604
284,2003Q2,Miscellaneous offences,Wexford,588
285,2003Q2,Miscellaneous offences,Wicklow,590
286,2003Q2,Theft offences,Carlow,554
287,2003Q2,Theft offences,Cavan,417
288,2003Q2,Theft offences,Clare,703
289,2003Q2,Theft offences,Cork,3852
290,2003Q2,Theft offences,Donegal,983
291,2003Q2,Theft offences,Dublin,25062
292,2003Q2,Theft offences,Galway,1790
293,2003Q2,Theft offences,Kerry,777
294,2003Q2,Theft offences,Kildare,1746
295,2003Q2,Theft offences,Kilkenny,554
296,2003Q2,Theft offences,Laois,500
297,2003Q2,Theft offences,Leitrim,409
298,2003Q2,Theft offences,Limerick,2569
299,2003Q2,Theft offences,Longford,316
300,2003Q2,Theft offences,Louth,1392
301,2003Q2,Theft offences,Mayo,794
302,2003Q2,Theft offences,Meath,1037
303,2003Q2,Theft offences,Monaghan,417
304,2003Q2,Theft offences,Offaly,500
305,2003Q2,Theft offences,Roscommon,316
306,2003Q2,Theft offences,Sligo,409
307,2003Q2,Theft offences,Tipperary,922
308,2003Q2,Theft offences,Waterford,1220
309,2003Q2,Theft offences,Westmeath,963
310,2003Q2,Theft offences,Wexford,1155
311,2003Q2,Theft offences,Wicklow,1622
312,2003Q2,Traffic offences,Carlow,59
313,2003Q2,Traffic offences,Cavan,76
314,2003Q2,Traffic offences,Clare,55
315,2003Q2,Traffic offences,Cork,336
316,2003Q2,Traffic offences,Donegal,121
317,2003Q2,Traffic offences,Dublin,677
318,2003Q2,Traffic offences,Galway,122
319,2003Q2,Traffic offences,Kerry,116
320,2003Q2,Traffic offences,Kildare,136
321,2003Q2,Traffic offences,Kilkenny,59
322,2003Q2,Traffic offences,Laois,43
323,2003Q2,Traffic offences,Leitrim,26
324,2003Q2,Traffic offences,Limerick,117
325,2003Q2,Traffic offences,Longford,27
326,2003Q2,Traffic offences,Louth,117
327,2003Q2,Traffic offences,Mayo,126
328,2003Q2,Traffic offences,Meath,80
329,2003Q2,Traffic offences,Monaghan,76
330,2003Q2,Traffic offences,Offaly,43
331,2003Q2,Traffic offences,Roscommon,27
332,2003Q2,Traffic offences,Sligo,26
333,2003Q2,Traffic offences,Tipperary,93
334,2003Q2,Traffic offences,Waterford,114
335,2003Q2,Traffic offences,Westmeath,59
336,2003Q2,Traffic offences,Wexford,100
337,2003Q2,Traffic offences,Wicklow,83
338,2003Q2,Weapon offences,Carlow,3
339,2003Q2,Weapon offences,Cavan,10
340,2003Q2,Weapon offences,Clare,10
341,2003Q2,Weapon offences,Cork,72
342,2003Q2,Weapon offences,Donegal,16
343,2003Q2,Weapon offences,Dublin,449
344,2003Q2,Weapon offences,Galway,14
345,2003Q2,Weapon offences,Kerry,8
346,2003Q2,Weapon offences,Kildare,22
347,2003Q2,Weapon offences,Kilkenny,3
348,2003Q2,Weapon offences,Laois,8
349,2003Q2,Weapon offences,Leitrim,3
350,2003Q2,Weapon offences,Limerick,96
351,2003Q2,Weapon offences,Longford,4
352,2003Q2,Weapon offences,Louth,36
353,2003Q2,Weapon offences,Mayo,16
354,2003Q2,Weapon offences,Meath,16
355,2003Q2,Weapon offences,Monaghan,10
356,2003Q2,Weapon offences,Offaly,8
357,2003Q2,Weapon offences,Roscommon,4
358,2003Q2,Weapon offences,Sligo,3
359,2003Q2,Weapon offences,Tipperary,36
360,2003Q2,Weapon offences,Waterford,36
361,2003Q2,Weapon offences,Westmeath,8
362,2003Q2,Weapon offences,Wexford,10
363,2003Q2,Weapon offences,Wicklow,16
364,2003Q3,Crimes affecting personal safety,Carlow,229
365,2003Q3,Crimes affecting personal safety,Cavan,327
366,2003Q3,Crimes affecting personal safety,Clare,506
367,2003Q3,Crimes affecting personal safety,Cork,2106
368,2003Q3,Crimes affecting personal safety,Donegal,909
369,2003Q3,Crimes affecting personal safety,Dublin,6027
370,2003Q3,Crimes affecting personal safety,Galway,738
371,2003Q3,Crimes affecting personal safety,Kerry,526
372,2003Q3,Crimes affecting personal safety,Kildare,661
373,2003Q3,Crimes affecting personal safety,Kilkenny,229
374,2003Q3,Crimes affecting personal safety,Laois,216
375,2003Q3,Crimes affecting personal safety,Leitrim,272
376,2003Q3,Crimes affecting personal safety,Limerick,994
377,2003Q3,Crimes affecting personal safety,Longford,176
378,2003Q3,Crimes affecting personal safety,Louth,624
379,2003Q3,Crimes affecting personal safety,Mayo,485
380,2003Q3,Crimes affecting personal safety,Meath,398
381,2003Q3,Crimes affecting personal safety,Monaghan,327
382,2003Q3,Crimes affecting personal safety,Offaly,216
383,2003Q3,Crimes affecting personal safety,Roscommon,176
384,2003Q3,Crimes affecting personal safety,Sligo,272
385,2003Q3,Crimes affecting personal safety,Tipperary,543
386,2003Q3,Crimes affecting personal safety,Waterford,581
387,2003Q3,Crimes affecting personal safety,Westmeath,350
388,2003Q3,Crimes affecting personal safety,Wexford,458
389,2003Q3,Crimes affecting personal safety,Wicklow,450
390,2003Q3,Drug offences,Carlow,95
391,2003Q3,Drug offences,Cavan,34
392,2003Q3,Drug offences,Clare,136
393,2003Q3,Drug offences,Cork,596
394,2003Q3,Drug offences,Donegal,168
395,2003Q3,Drug offences,Dublin,1648
396,2003Q3,Drug offences,Galway,168
397,2003Q3,Drug offences,Kerry,96
398,2003Q3,Drug offences,Kildare,542
399,2003Q3,Drug offences,Kilkenny,95
400,2003Q3,Drug offences,Laois,58
401,2003Q3,Drug offences,Leitrim,48
402,2003Q3,Drug offences,Limerick,174
403,2003Q3,Drug offences,Longford,26
404,2003Q3,Drug offences,Louth,84
405,2003Q3,Drug offences,Mayo,55
406,2003Q3,Drug offences,Meath,120
407,2003Q3,Drug offences,Monaghan,34
408,2003Q3,Drug offences,Offaly,58
409,2003Q3,Drug offences,Roscommon,26
410,2003Q3,Drug offences,Sligo,48
411,2003Q3,Drug offences,Tipperary,294
412,2003Q3,Drug offences,Waterford,362
413,2003Q3,Drug offences,Westmeath,58
414,2003Q3,Drug offences,Wexford,100
415,2003Q3,Drug offences,Wicklow,104
416,2003Q3,Environmental offences,Carlow,69
417,2003Q3,Environmental offences,Cavan,72
418,2003Q3,Environmental offences,Clare,221
419,2003Q3,Environmental offences,Cork,870
420,2003Q3,Environmental offences,Donegal,304
421,2003Q3,Environmental offences,Dublin,3295
422,2003Q3,Environmental offences,Galway,267
423,2003Q3,Environmental offences,Kerry,138
424,2003Q3,Environmental offences,Kildare,250
425,2003Q3,Environmental offences,Kilkenny,69
426,2003Q3,Environmental offences,Laois,82
427,2003Q3,Environmental offences,Leitrim,134
428,2003Q3,Environmental offences,Limerick,434
429,2003Q3,Environmental offences,Longford,59
430,2003Q3,Environmental offences,Louth,249
431,2003Q3,Environmental offences,Mayo,185
432,2003Q3,Environmental offences,Meath,143
433,2003Q3,Environmental offences,Monaghan,72
434,2003Q3,Environmental offences,Offaly,82
435,2003Q3,Environmental offences,Roscommon,59
436,2003Q3,Environmental offences,Sligo,134
437,2003Q3,Environmental offences,Tipperary,167
438,2003Q3,Environmental offences,Waterford,227
439,2003Q3,Environmental offences,Westmeath,156
440,2003Q3,Environmental offences,Wexford,146
441,2003Q3,Environmental offences,Wicklow,231
442,2003Q3,Miscellaneous offences,Carlow,399
443,2003Q3,Miscellaneous offences,Cavan,336
444,2003Q3,Miscellaneous offences,Clare,544
445,2003Q3,Miscellaneous offences,Cork,3398
446,2003Q3,Miscellaneous offences,Donegal,1152
447,2003Q3,Miscellaneous offences,Dublin,10914
448,2003Q3,Miscellaneous offences,Galway,1142
449,2003Q3,Miscellaneous offences,Kerry,971
450,2003Q3,Miscellaneous offences,Kildare,877
451,2003Q3,Miscellaneous offences,Kilkenny,399
452,2003Q3,Miscellaneous offences,Laois,277
453,2003Q3,Miscellaneous offences,Leitrim,180
454,2003Q3,Miscellaneous offences,Limerick,953
455,2003Q3,Miscellaneous offences,Longford,251
456,2003Q3,Miscellaneous offences,Louth,764
457,2003Q3,Miscellaneous offences,Mayo,633
458,2003Q3,Miscellaneous offences,Meath,295
459,2003Q3,Miscellaneous offences,Monaghan,336
460,2003Q3,Miscellaneous offences,Offaly,277
461,2003Q3,Miscellaneous offences,Roscommon,251
462,2003Q3,Miscellaneous offences,Sligo,180
463,2003Q3,Miscellaneous offences,Tipperary,613
464,2003Q3,Miscellaneous offences,Waterford,1450
465,2003Q3,Miscellaneous offences,Westmeath,480
466,2003Q3,Miscellaneous offences,Wexford,556
467,2003Q3,Miscellaneous offences,Wicklow,546
468,2003Q3,Theft offences,Carlow,530
469,2003Q3,Theft offences,Cavan,426
470,2003Q3,Theft offences,Clare,863
471,2003Q3,Theft offences,Cork,4165
472,2003Q3,Theft offences,Donegal,1038
473,2003Q3,Theft offences,Dublin,25954
474,2003Q3,Theft offences,Galway,1956
475,2003Q3,Theft offences,Kerry,836
476,2003Q3,Theft offences,Kildare,1796
477,2003Q3,Theft offences,Kilkenny,530
478,2003Q3,Theft offences,Laois,545
479,2003Q3,Theft offences,Leitrim,442
480,2003Q3,Theft offences,Limerick,2326
481,2003Q3,Theft offences,Longford,317
482,2003Q3,Theft offences,Louth,1306
483,2003Q3,Theft offences,Mayo,718
484,2003Q3,Theft offences,Meath,1141
485,2003Q3,Theft offences,Monaghan,426
486,2003Q3,Theft offences,Offaly,545
487,2003Q3,Theft offences,Roscommon,317
488,2003Q3,Theft offences,Sligo,442
489,2003Q3,Theft offences,Tipperary,935
490,2003Q3,Theft offences,Waterford,1474
491,2003Q3,Theft offences,Westmeath,888
492,2003Q3,Theft offences,Wexford,1040
493,2003Q3,Theft offences,Wicklow,1494
494,2003Q3,Traffic offences,Carlow,49
495,2003Q3,Traffic offences,Cavan,69
496,2003Q3,Traffic offences,Clare,67
497,2003Q3,Traffic offences,Cork,306
498,2003Q3,Traffic offences,Donegal,152
499,2003Q3,Traffic offences,Dublin,717
500,2003Q3,Traffic offences,Galway,159
501,2003Q3,Traffic offences,Kerry,161
502,2003Q3,Traffic offences,Kildare,97
503,2003Q3,Traffic offences,Kilkenny,49
504,2003Q3,Traffic offences,Laois,48
505,2003Q3,Traffic offences,Leitrim,29
506,2003Q3,Traffic offences,Limerick,117
507,2003Q3,Traffic offences,Longford,25
508,2003Q3,Traffic offences,Louth,110
509,2003Q3,Traffic offences,Mayo,125
510,2003Q3,Traffic offences,Meath,90
511,2003Q3,Traffic offences,Monaghan,69
512,2003Q3,Traffic offences,Offaly,48
513,2003Q3,Traffic offences,Roscommon,25
514,2003Q3,Traffic offences,Sligo,29
515,2003Q3,Traffic offences,Tipperary,112
516,2003Q3,Traffic offences,Waterford,136
517,2003Q3,Traffic offences,Westmeath,44
518,2003Q3,Traffic offences,Wexford,90
519,2003Q3,Traffic offences,Wicklow,76
520,2003Q3,Weapon offences,Carlow,6
521,2003Q3,Weapon offences,Cavan,6
522,2003Q3,Weapon offences,Clare,26
523,2003Q3,Weapon offences,Cork,102
524,2003Q3,Weapon offences,Donegal,20
525,2003Q3,Weapon offences,Dublin,502
526,2003Q3,Weapon offences,Galway,18
527,2003Q3,Weapon offences,Kerry,16
528,2003Q3,Weapon offences,Kildare,24
529,2003Q3,Weapon offences,Kilkenny,6
530,2003Q3,Weapon offences,Laois,5
531,2003Q3,Weapon offences,Leitrim,7
532,2003Q3,Weapon offences,Limerick,56
533,2003Q3,Weapon offences,Longford,4
534,2003Q3,Weapon offences,Louth,22
535,2003Q3,Weapon offences,Mayo,8
536,2003Q3,Weapon offences,Meath,12
