"STATISTIC Label","Quarter","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2021Q3","Waterford City & County Council","Number","140"
"New Dwelling Completion","2021Q3","Westmeath County Council","Number","41"
"New Dwelling Completion","2021Q3","Wicklow County Council","Number","229"
"New Dwelling Completion","2021Q3","Wexford County Council","Number","138"
"New Dwelling Completion","2021Q4","Cork City Council","Number","241"
"New Dwelling Completion","2021Q4","Clare County Council","Number","144"
"New Dwelling Completion","2021Q4","Cavan County Council","Number","41"
"New Dwelling Completion","2021Q4","Cork County Council","Number","410"
"New Dwelling Completion","2021Q4","Carlow County Council","Number","94"
"New Dwelling Completion","2021Q4","Dublin City Council","Number","948"
"New Dwelling Completion","2021Q4","Dún Laoghaire Rathdown County Council","Number","605"
"New Dwelling Completion","2021Q4","Donegal County Council","Number","162"
"New Dwelling Completion","2021Q4","Fingal County Council","Number","636"
"New Dwelling Completion","2021Q4","Galway County Council","Number","201"
"New Dwelling Completion","2021Q4","Galway City Council","Number","32"
"New Dwelling Completion","2021Q4","Kildare County Council","Number","687"
"New Dwelling Completion","2021Q4","Kilkenny County Council","Number","84"
"New Dwelling Completion","2021Q4","Kerry County Council","Number","106"
"New Dwelling Completion","2021Q4","Longford County Council","Number","60"
"New Dwelling Completion","2021Q4","Louth County Council","Number","167"
"New Dwelling Completion","2021Q4","Limerick City & County Council","Number","192"
"New Dwelling Completion","2021Q4","Leitrim County Council","Number","22"
"New Dwelling Completion","2021Q4","Laois County Council","Number","66"
"New Dwelling Completion","2021Q4","Meath County Council","Number","529"
"New Dwelling Completion","2021Q4","Monaghan County Council","Number","66"
"New Dwelling Completion","2021Q4","Mayo County Council","Number","122"
"New Dwelling Completion","2021Q4","Offaly County Council","Number","87"
"New Dwelling Completion","2021Q4","Roscommon County Council","Number","37"
"New Dwelling Completion","2021Q4","South Dublin County Council","Number","302"
"New Dwelling Completion","2021Q4","Sligo County Council","Number","48"
"New Dwelling Completion","2021Q4","Tipperary County Council","Number","120"
"New Dwelling Completion","2021Q4","Waterford City & County Council","Number","180"
"New Dwelling Completion","2021Q4","Westmeath County Council","Number","43"
"New Dwelling Completion","2021Q4","Wicklow County Council","Number","238"
"New Dwelling Completion","2021Q4","Wexford County Council","Number","254"
"New Dwelling Completion","2022Q1","Cork City Council","Number","149"
"New Dwelling Completion","2022Q1","Clare County Council","Number","143"
"New Dwelling Completion","2022Q1","Cavan County Council","Number","43"
"New Dwelling Completion","2022Q1","Cork County Council","Number","346"
"New Dwelling Completion","2022Q1","Carlow County Council","Number","60"
"New Dwelling Completion","2022Q1","Dublin City Council","Number","974"
"New Dwelling Completion","2022Q1","Dún Laoghaire Rathdown County Council","Number","582"
"New Dwelling Completion","2022Q1","Donegal County Council","Number","130"
"New Dwelling Completion","2022Q1","Fingal County Council","Number","347"
"New Dwelling Completion","2022Q1","Galway County Council","Number","172"
"New Dwelling Completion","2022Q1","Galway City Council","Number","18"
"New Dwelling Completion","2022Q1","Kildare County Council","Number","308"
"New Dwelling Completion","2022Q1","Kilkenny County Council","Number","58"
"New Dwelling Completion","2022Q1","Kerry County Council","Number","133"
"New Dwelling Completion","2022Q1","Longford County Council","Number","26"
"New Dwelling Completion","2022Q1","Louth County Council","Number","199"
"New Dwelling Completion","2022Q1","Limerick City & County Council","Number","156"
"New Dwelling Completion","2022Q1","Leitrim County Council","Number","9"
"New Dwelling Completion","2022Q1","Laois County Council","Number","76"
"New Dwelling Completion","2022Q1","Meath County Council","Number","284"
"New Dwelling Completion","2022Q1","Monaghan County Council","Number","56"
"New Dwelling Completion","2022Q1","Mayo County Council","Number","97"
"New Dwelling Completion","2022Q1","Offaly County Council","Number","138"
"New Dwelling Completion","2022Q1","Roscommon County Council","Number","41"
"New Dwelling Completion","2022Q1","South Dublin County Council","Number","243"
"New Dwelling Completion","2022Q1","Sligo County Council","Number","36"
"New Dwelling Completion","2022Q1","Tipperary County Council","Number","79"
"New Dwelling Completion","2022Q1","Waterford City & County Council","Number","154"
"New Dwelling Completion","2022Q1","Westmeath County Council","Number","69"
"New Dwelling Completion","2022Q1","Wicklow County Council","Number","268"
"New Dwelling Completion","2022Q1","Wexford County Council","Number","217"
"New Dwelling Completion","2022Q2","Cork City Council","Number","363"
"New Dwelling Completion","2022Q2","Clare County Council","Number","165"
"New Dwelling Completion","2022Q2","Cavan County Council","Number","80"
"New Dwelling Completion","2022Q2","Cork County Council","Number","488"
"New Dwelling Completion","2022Q2","Carlow County Council","Number","51"
"New Dwelling Completion","2022Q2","Dublin City Council","Number","1021"
"New Dwelling Completion","2022Q2","Dún Laoghaire Rathdown County Council","Number","669"
"New Dwelling Completion","2022Q2","Donegal County Council","Number","157"
"New Dwelling Completion","2022Q2","Fingal County Council","Number","592"
"New Dwelling Completion","2022Q2","Galway County Council","Number","232"
"New Dwelling Completion","2022Q2","Galway City Council","Number","140"
"New Dwelling Completion","2022Q2","Kildare County Council","Number","566"
"New Dwelling Completion","2022Q2","Kilkenny County Council","Number","146"
"New Dwelling Completion","2022Q2","Kerry County Council","Number","213"
"New Dwelling Completion","2022Q2","Longford County Council","Number","20"
"New Dwelling Completion","2022Q2","Louth County Council","Number","200"
"New Dwelling Completion","2022Q2","Limerick City & County Council","Number","212"
"New Dwelling Completion","2022Q2","Leitrim County Council","Number","13"
"New Dwelling Completion","2022Q2","Laois County Council","Number","152"
"New Dwelling Completion","2022Q2","Meath County Council","Number","538"
"New Dwelling Completion","2022Q2","Monaghan County Council","Number","99"
"New Dwelling Completion","2022Q2","Mayo County Council","Number","114"
"New Dwelling Completion","2022Q2","Offaly County Council","Number","91"
"New Dwelling Completion","2022Q2","Roscommon County Council","Number","27"
"New Dwelling Completion","2022Q2","South Dublin County Council","Number","425"
"New Dwelling Completion","2022Q2","Sligo County Council","Number","48"
"New Dwelling Completion","2022Q2","Tipperary County Council","Number","107"
"New Dwelling Completion","2022Q2","Waterford City & County Council","Number","93"
"New Dwelling Completion","2022Q2","Westmeath County Council","Number","92"
"New Dwelling Completion","2022Q2","Wicklow County Council","Number","327"
"New Dwelling Completion","2022Q2","Wexford County Council","Number","168"
"New Dwelling Completion","2022Q3","Cork City Council","Number","330"
"New Dwelling Completion","2022Q3","Clare County Council","Number","125"
"New Dwelling Completion","2022Q3","Cavan County Council","Number","57"
"New Dwelling Completion","2022Q3","Cork County Council","Number","484"
"New Dwelling Completion","2022Q3","Carlow County Council","Number","54"
"New Dwelling Completion","2022Q3","Dublin City Council","Number","1215"
"New Dwelling Completion","2022Q3","Dún Laoghaire Rathdown County Council","Number","377"
"New Dwelling Completion","2022Q3","Donegal County Council","Number","174"
"New Dwelling Completion","2022Q3","Fingal County Council","Number","560"
"New Dwelling Completion","2022Q3","Galway County Council","Number","225"
"New Dwelling Completion","2022Q3","Galway City Council","Number","159"
"New Dwelling Completion","2022Q3","Kildare County Council","Number","748"
"New Dwelling Completion","2022Q3","Kilkenny County Council","Number","75"
"New Dwelling Completion","2022Q3","Kerry County Council","Number","138"
"New Dwelling Completion","2022Q3","Longford County Council","Number","50"
"New Dwelling Completion","2022Q3","Louth County Council","Number","191"
"New Dwelling Completion","2022Q3","Limerick City & County Council","Number","192"
"New Dwelling Completion","2022Q3","Leitrim County Council","Number","23"
"New Dwelling Completion","2022Q3","Laois County Council","Number","79"
"New Dwelling Completion","2022Q3","Meath County Council","Number","390"
"New Dwelling Completion","2022Q3","Monaghan County Council","Number","62"
"New Dwelling Completion","2022Q3","Mayo County Council","Number","119"
"New Dwelling Completion","2022Q3","Offaly County Council","Number","62"
"New Dwelling Completion","2022Q3","Roscommon County Council","Number","42"
"New Dwelling Completion","2022Q3","South Dublin County Council","Number","457"
"New Dwelling Completion","2022Q3","Sligo County Council","Number","60"
"New Dwelling Completion","2022Q3","Tipperary County Council","Number","66"
"New Dwelling Completion","2022Q3","Waterford City & County Council","Number","109"
"New Dwelling Completion","2022Q3","Westmeath County Council","Number","147"
"New Dwelling Completion","2022Q3","Wicklow County Council","Number","326"
"New Dwelling Completion","2022Q3","Wexford County Council","Number","281"
"New Dwelling Completion","2022Q4","Cork City Council","Number","353"
"New Dwelling Completion","2022Q4","Clare County Council","Number","123"
"New Dwelling Completion","2022Q4","Cavan County Council","Number","77"
"New Dwelling Completion","2022Q4","Cork County Council","Number","555"
"New Dwelling Completion","2022Q4","Carlow County Council","Number","66"
"New Dwelling Completion","2022Q4","Dublin City Council","Number","662"
"New Dwelling Completion","2022Q4","Dún Laoghaire Rathdown County Council","Number","1080"
"New Dwelling Completion","2022Q4","Donegal County Council","Number","200"
"New Dwelling Completion","2022Q4","Fingal County Council","Number","532"
"New Dwelling Completion","2022Q4","Galway County Council","Number","268"
"New Dwelling Completion","2022Q4","Galway City Council","Number","95"
"New Dwelling Completion","2022Q4","Kildare County Council","Number","1004"
"New Dwelling Completion","2022Q4","Kilkenny County Council","Number","142"
"New Dwelling Completion","2022Q4","Kerry County Council","Number","127"
"New Dwelling Completion","2022Q4","Longford County Council","Number","27"
"New Dwelling Completion","2022Q4","Louth County Council","Number","199"
"New Dwelling Completion","2022Q4","Limerick City & County Council","Number","211"
"New Dwelling Completion","2022Q4","Leitrim County Council","Number","23"
"New Dwelling Completion","2022Q4","Laois County Council","Number","205"
"New Dwelling Completion","2022Q4","Meath County Council","Number","648"
"New Dwelling Completion","2022Q4","Monaghan County Council","Number","118"
"New Dwelling Completion","2022Q4","Mayo County Council","Number","121"
"New Dwelling Completion","2022Q4","Offaly County Council","Number","125"
"New Dwelling Completion","2022Q4","Roscommon County Council","Number","67"
"New Dwelling Completion","2022Q4","South Dublin County Council","Number","622"
"New Dwelling Completion","2022Q4","Sligo County Council","Number","68"
"New Dwelling Completion","2022Q4","Tipperary County Council","Number","166"
"New Dwelling Completion","2022Q4","Waterford City & County Council","Number","198"
"New Dwelling Completion","2022Q4","Westmeath County Council","Number","97"
"New Dwelling Completion","2022Q4","Wicklow County Council","Number","631"
"New Dwelling Completion","2022Q4","Wexford County Council","Number","283"
"New Dwelling Completion","2023Q1","Cork City Council","Number","260"
"New Dwelling Completion","2023Q1","Clare County Council","Number","102"
"New Dwelling Completion","2023Q1","Cavan County Council","Number","55"
"New Dwelling Completion","2023Q1","Cork County Council","Number","474"
"New Dwelling Completion","2023Q1","Carlow County Council","Number","41"
"New Dwelling Completion","2023Q1","Dublin City Council","Number","509"
"New Dwelling Completion","2023Q1","Dún Laoghaire Rathdown County Council","Number","879"
"New Dwelling Completion","2023Q1","Donegal County Council","Number","138"
"New Dwelling Completion","2023Q1","Fingal County Council","Number","407"
"New Dwelling Completion","2023Q1","Galway County Council","Number","187"
"New Dwelling Completion","2023Q1","Galway City Council","Number","93"
"New Dwelling Completion","2023Q1","Kildare County Council","Number","599"
"New Dwelling Completion","2023Q1","Kilkenny County Council","Number","78"
"New Dwelling Completion","2023Q1","Kerry County Council","Number","117"
"New Dwelling Completion","2023Q1","Longford County Council","Number","17"
"New Dwelling Completion","2023Q1","Louth County Council","Number","170"
"New Dwelling Completion","2023Q1","Limerick City & County Council","Number","205"
"New Dwelling Completion","2023Q1","Leitrim County Council","Number","37"
"New Dwelling Completion","2023Q1","Laois County Council","Number","112"
"New Dwelling Completion","2023Q1","Meath County Council","Number","281"
"New Dwelling Completion","2023Q1","Monaghan County Council","Number","66"
"New Dwelling Completion","2023Q1","Mayo County Council","Number","114"
"New Dwelling Completion","2023Q1","Offaly County Council","Number","105"
"New Dwelling Completion","2023Q1","Roscommon County Council","Number","37"
"New Dwelling Completion","2023Q1","South Dublin County Council","Number","716"
"New Dwelling Completion","2023Q1","Sligo County Council","Number","43"
"New Dwelling Completion","2023Q1","Tipperary County Council","Number","119"
"New Dwelling Completion","2023Q1","Waterford City & County Council","Number","132"
"New Dwelling Completion","2023Q1","Westmeath County Council","Number","54"
"New Dwelling Completion","2023Q1","Wicklow County Council","Number","268"
"New Dwelling Completion","2023Q1","Wexford County Council","Number","231"
"New Dwelling Completion","2023Q2","Cork City Council","Number","306"
"New Dwelling Completion","2023Q2","Clare County Council","Number","83"
"New Dwelling Completion","2023Q2","Cavan County Council","Number","45"
"New Dwelling Completion","2023Q2","Cork County Council","Number","526"
"New Dwelling Completion","2023Q2","Carlow County Council","Number","54"
"New Dwelling Completion","2023Q2","Dublin City Council","Number","528"
"New Dwelling Completion","2023Q2","Dún Laoghaire Rathdown County Council","Number","808"
"New Dwelling Completion","2023Q2","Donegal County Council","Number","169"
"New Dwelling Completion","2023Q2","Fingal County Council","Number","550"
"New Dwelling Completion","2023Q2","Galway County Council","Number","271"
"New Dwelling Completion","2023Q2","Galway City Council","Number","74"
"New Dwelling Completion","2023Q2","Kildare County Council","Number","757"
"New Dwelling Completion","2023Q2","Kilkenny County Council","Number","94"
"New Dwelling Completion","2023Q2","Kerry County Council","Number","187"
"New Dwelling Completion","2023Q2","Longford County Council","Number","18"
"New Dwelling Completion","2023Q2","Louth County Council","Number","195"
"New Dwelling Completion","2023Q2","Limerick City & County Council","Number","147"
"New Dwelling Completion","2023Q2","Leitrim County Council","Number","21"
"New Dwelling Completion","2023Q2","Laois County Council","Number","227"
"New Dwelling Completion","2023Q2","Meath County Council","Number","405"
"New Dwelling Completion","2023Q2","Monaghan County Council","Number","52"
"New Dwelling Completion","2023Q2","Mayo County Council","Number","138"
"New Dwelling Completion","2023Q2","Offaly County Council","Number","96"
"New Dwelling Completion","2023Q2","Roscommon County Council","Number","48"
"New Dwelling Completion","2023Q2","South Dublin County Council","Number","467"
"New Dwelling Completion","2023Q2","Sligo County Council","Number","80"
"New Dwelling Completion","2023Q2","Tipperary County Council","Number","116"
"New Dwelling Completion","2023Q2","Waterford City & County Council","Number","168"
"New Dwelling Completion","2023Q2","Westmeath County Council","Number","62"
"New Dwelling Completion","2023Q2","Wicklow County Council","Number","347"
"New Dwelling Completion","2023Q2","Wexford County Council","Number","238"
"New Dwelling Completion","2023Q3","Cork City Council","Number","157"
"New Dwelling Completion","2023Q3","Clare County Council","Number","97"
"New Dwelling Completion","2023Q3","Cavan County Council","Number","92"
"New Dwelling Completion","2023Q3","Cork County Council","Number","541"
"New Dwelling Completion","2023Q3","Carlow County Council","Number","56"
"New Dwelling Completion","2023Q3","Dublin City Council","Number","888"
"New Dwelling Completion","2023Q3","Dún Laoghaire Rathdown County Council","Number","637"
"New Dwelling Completion","2023Q3","Donegal County Council","Number","191"
"New Dwelling Completion","2023Q3","Fingal County Council","Number","774"
"New Dwelling Completion","2023Q3","Galway County Council","Number","284"
"New Dwelling Completion","2023Q3","Galway City Council","Number","110"
"New Dwelling Completion","2023Q3","Kildare County Council","Number","576"
"New Dwelling Completion","2023Q3","Kilkenny County Council","Number","125"
"New Dwelling Completion","2023Q3","Kerry County Council","Number","143"
"New Dwelling Completion","2023Q3","Longford County Council","Number","30"
"New Dwelling Completion","2023Q3","Louth County Council","Number","275"
"New Dwelling Completion","2023Q3","Limerick City & County Council","Number","197"
"New Dwelling Completion","2023Q3","Leitrim County Council","Number","17"
"New Dwelling Completion","2023Q3","Laois County Council","Number","167"
"New Dwelling Completion","2023Q3","Meath County Council","Number","403"
"New Dwelling Completion","2023Q3","Monaghan County Council","Number","63"
"New Dwelling Completion","2023Q3","Mayo County Council","Number","125"
"New Dwelling Completion","2023Q3","Offaly County Council","Number","120"
"New Dwelling Completion","2023Q3","Roscommon County Council","Number","40"
"New Dwelling Completion","2023Q3","South Dublin County Council","Number","1263"
"New Dwelling Completion","2023Q3","Sligo County Council","Number","64"
"New Dwelling Completion","2023Q3","Tipperary County Council","Number","139"
"New Dwelling Completion","2023Q3","Waterford City & County Council","Number","125"
"New Dwelling Completion","2023Q3","Westmeath County Council","Number","113"
"New Dwelling Completion","2023Q3","Wicklow County Council","Number","411"
"New Dwelling Completion","2023Q3","Wexford County Council","Number","202"
"New Dwelling Completion","2023Q4","Cork City Council","Number","318"
"New Dwelling Completion","2023Q4","Clare County Council","Number","125"
"New Dwelling Completion","2023Q4","Cavan County Council","Number","71"
"New Dwelling Completion","2023Q4","Cork County Council","Number","523"
"New Dwelling Completion","2023Q4","Carlow County Council","Number","92"
"New Dwelling Completion","2023Q4","Dublin City Council","Number","1515"
"New Dwelling Completion","2023Q4","Dún Laoghaire Rathdown County Council","Number","1239"
"New Dwelling Completion","2023Q4","Donegal County Council","Number","142"
"New Dwelling Completion","2023Q4","Fingal County Council","Number","625"
"New Dwelling Completion","2023Q4","Galway County Council","Number","219"
"New Dwelling Completion","2023Q4","Galway City Council","Number","80"
"New Dwelling Completion","2023Q4","Kildare County Council","Number","774"
"New Dwelling Completion","2023Q4","Kilkenny County Council","Number","255"
"New Dwelling Completion","2023Q4","Kerry County Council","Number","169"
"New Dwelling Completion","2023Q4","Longford County Council","Number","56"
"New Dwelling Completion","2023Q4","Louth County Council","Number","446"
"New Dwelling Completion","2023Q4","Limerick City & County Council","Number","243"
"New Dwelling Completion","2023Q4","Leitrim County Council","Number","26"
"New Dwelling Completion","2023Q4","Laois County Council","Number","244"
"New Dwelling Completion","2023Q4","Meath County Council","Number","454"
"New Dwelling Completion","2023Q4","Monaghan County Council","Number","54"
"New Dwelling Completion","2023Q4","Mayo County Council","Number","146"
"New Dwelling Completion","2023Q4","Offaly County Council","Number","225"
"New Dwelling Completion","2023Q4","Roscommon County Council","Number","72"
"New Dwelling Completion","2023Q4","South Dublin County Council","Number","790"
"New Dwelling Completion","2023Q4","Sligo County Council","Number","75"
"New Dwelling Completion","2023Q4","Tipperary County Council","Number","134"
"New Dwelling Completion","2023Q4","Waterford City & County Council","Number","142"
"New Dwelling Completion","2023Q4","Westmeath County Council","Number","279"
"New Dwelling Completion","2023Q4","Wicklow County Council","Number","402"
"New Dwelling Completion","2023Q4","Wexford County Council","Number","299"
"New Dwelling Completion","2024Q1","Cork City Council","Number","239"
"New Dwelling Completion","2024Q1","Clare County Council","Number","127"
"New Dwelling Completion","2024Q1","Cavan County Council","Number","52"
"New Dwelling Completion","2024Q1","Cork County Council","Number","467"
"New Dwelling Completion","2024Q1","Carlow County Council","Number","57"
"New Dwelling Completion","2024Q1","Dublin City Council","Number","493"
"New Dwelling Completion","2024Q1","Dún Laoghaire Rathdown County Council","Number","382"
"New Dwelling Completion","2024Q1","Donegal County Council","Number","127"
"New Dwelling Completion","2024Q1","Fingal County Council","Number","294"
"New Dwelling Completion","2024Q1","Galway County Council","Number","211"
"New Dwelling Completion","2024Q1","Galway City Council","Number","66"
"New Dwelling Completion","2024Q1","Kildare County Council","Number","272"
"New Dwelling Completion","2024Q1","Kilkenny County Council","Number","120"
"New Dwelling Completion","2024Q1","Kerry County Council","Number","73"
"New Dwelling Completion","2024Q1","Longford County Council","Number","32"
"New Dwelling Completion","2024Q1","Louth County Council","Number","176"
"New Dwelling Completion","2024Q1","Limerick City & County Council","Number","193"
"New Dwelling Completion","2024Q1","Leitrim County Council","Number","18"
"New Dwelling Completion","2024Q1","Laois County Council","Number","146"
"New Dwelling Completion","2024Q1","Meath County Council","Number","468"
"New Dwelling Completion","2024Q1","Monaghan County Council","Number","65"
"New Dwelling Completion","2024Q1","Mayo County Council","Number","84"
"New Dwelling Completion","2024Q1","Offaly County Council","Number","97"
"New Dwelling Completion","2024Q1","Roscommon County Council","Number","56"
"New Dwelling Completion","2024Q1","South Dublin County Council","Number","696"
"New Dwelling Completion","2024Q1","Sligo County Council","Number","41"
"New Dwelling Completion","2024Q1","Tipperary County Council","Number","97"
"New Dwelling Completion","2024Q1","Waterford City & County Council","Number","151"
"New Dwelling Completion","2024Q1","Westmeath County Council","Number","88"
"New Dwelling Completion","2024Q1","Wicklow County Council","Number","275"
"New Dwelling Completion","2024Q1","Wexford County Council","Number","183"
"New Dwelling Completion","2024Q2","Cork City Council","Number","306"
"New Dwelling Completion","2024Q2","Clare County Council","Number","108"
"New Dwelling Completion","2024Q2","Cavan County Council","Number","66"
"New Dwelling Completion","2024Q2","Cork County Council","Number","536"
"New Dwelling Completion","2024Q2","Carlow County Council","Number","66"
"New Dwelling Completion","2024Q2","Dublin City Council","Number","612"
"New Dwelling Completion","2024Q2","Dún Laoghaire Rathdown County Council","Number","440"
"New Dwelling Completion","2024Q2","Donegal County Council","Number","135"
"New Dwelling Completion","2024Q2","Fingal County Council","Number","344"
"New Dwelling Completion","2024Q2","Galway County Council","Number","264"
"New Dwelling Completion","2024Q2","Galway City Council","Number","74"
"New Dwelling Completion","2024Q2","Kildare County Council","Number","341"
"New Dwelling Completion","2024Q2","Kilkenny County Council","Number","113"
"New Dwelling Completion","2024Q2","Kerry County Council","Number","105"
"New Dwelling Completion","2024Q2","Longford County Council","Number","43"
"New Dwelling Completion","2024Q2","Louth County Council","Number","245"
"New Dwelling Completion","2024Q2","Limerick City & County Council","Number","228"
"New Dwelling Completion","2024Q2","Leitrim County Council","Number","32"
"New Dwelling Completion","2024Q2","Laois County Council","Number","129"
"New Dwelling Completion","2024Q2","Meath County Council","Number","382"
"New Dwelling Completion","2024Q2","Monaghan County Council","Number","67"
"New Dwelling Completion","2024Q2","Mayo County Council","Number","161"
"New Dwelling Completion","2024Q2","Offaly County Council","Number","61"
"New Dwelling Completion","2024Q2","Roscommon County Council","Number","34"
"New Dwelling Completion","2024Q2","South Dublin County Council","Number","707"
"New Dwelling Completion","2024Q2","Sligo County Council","Number","50"
"New Dwelling Completion","2024Q2","Tipperary County Council","Number","170"
"New Dwelling Completion","2024Q2","Waterford City & County Council","Number","203"
"New Dwelling Completion","2024Q2","Westmeath County Council","Number","183"
"New Dwelling Completion","2024Q2","Wicklow County Council","Number","406"
"New Dwelling Completion","2024Q2","Wexford County Council","Number","273"
